#CODE;RUSSIAN;x
k_beyond_wall;За Стеной;x
k_beyond_the_wall;За Стеной;x
d_upper_frostfangs;Вершины Клыков Мороза;x
d_shivering_shore;Земли Иных;x
d_lower_frostfangs;Подножья Клыков Мороза;x
d_haunted_forest;Зачарованный Лес;x
d_frozen_shore;Стылый Берег;x
c_whitetree;Белое Древо;x
c_thenn;Тенния;x
c_the_gorge;Теснина;x
c_skirling_pass;Воющий перевал;x
c_shivering_forest;Дрожащий Лес;x
c_n_frostfangs;Морозные пещеры;x
c_ice_bay_shore;Побережье Ледового Залива;x
c_haunted_forest;Зачарованный Лес;x
c_hardhome;Суровый Дом;x
c_frozen_shore;Стылый Берег;x
c_fot_first_men;Кулак Первых Людей;x
c_crasters_keep;Зимний Замок;x
c_crasters_keep_B;Замок Крастера;x
c_c_frostfangs;Центр Клыков мороза;x
c_antler_vale;Долина Оленьего Рога;x
b_ruddy_hall;Красные Палаты;x
b_thenn;Тенния;x
b_forktop_point;Зубчатая Вершина;x
b_skirling_watch;Воющий Дозор;x
b_the_fist;Кулак Первых Людей;x
b_the_fist_temple;Кулак Первых Людей;x
b_giants_stair;Двузубая;x
b_bearview;Медвежий Взор;x
b_icehome;Ледовый Дом;x
b_iceguard;Ледяная Стража;x
b_shivering_grove;Дрожащая Роща;x
b_antler_fork;Развилка Оленьего рога;x
b_storrolds_point;Мыс Сторролда;x
b_hardhome;Суровый Дом;x
b_hardhome_city;Суровый Дом;x
b_haunted_keep;Зачарованная Крепость;x
b_whitewatch;Белый Дозор;x
b_keening_arch;Резкая Арка;x
b_deepvalley;Глубокая Долина;x
b_crasters_keep;Зимний Замок;x
b_forktop_rest;Приют Двузубой;x
b_northdown;Северная Низина;x
b_baypoint;Заливной Мыс;x
b_shivering_thatch;Дрожащий Камыш;x
b_wightward;Палаты Духов;x
b_storrolds_keep;Замок Сторролда;x
b_old_weirgrove;Старая роща чардрев;x
b_whitetree;Белое Древо;x
b_first_hearth;Первый Очаг;x
empire_free_folk;Королевство;x
empire_of_free_folk;Королевство;x
emperor_free_folk;Верховный король;x
emperor_female_free_folk;Королева;x
emperor_foa_free_folk;Мой король;x
emperor_foa_female_free_folk;Моя королева;x
king_foa_free_folk;Мой король;x
king_foa_female_free_folk;Моя королева;x
duchy_free_folk;Вождество;x
duchy_of_free_folk;Вождество;x
duke_free_folk;Великий Вождь;x
duke_female_free_folk;Великая Предводительница;x
duke_foa_free_folk;Вождь;x
county_free_folk;Вождество;x
county_of_free_folk;Вождество;x
count_free_folk;Вождь;x
count_female_free_folk;Предводительница;x
count_foa_free_folk;Вождь;x
barony_free_folk;Владение;x
barony_of_free_folk;Владение;x
baron_free_folk;Вождь;x
baron_female_free_folk;Предводительница;x
baron_foa_free_folk;Вождь;x
c_thenn_rel;Тенн;x
MAGNAR;Магнар;x
MAGNAR_FOA;Магнар;x
#duke_thenn;Магнар;x
#duke_foa_thenn;Магнар;x
#count_thenn;Магнар;x
#count_foa_thenn;Магнар;x
d_merc_wild_1;Полуночники;x
d_merc_wild_2;Налетчики одичалых;x
d_merc_wild_3;Налетчики одичалых;x
d_merc_wild_4;Налетчики одичалых;x
d_merc_wild_5;Налетчики одичалых;x
d_merc_wild_6;Налетчики одичалых;x
d_merc_wild_7;Налетчики одичалых;x
d_merc_wild_8;Налетчики одичалых;x
d_merc_wild_9;Налетчики одичалых;x
d_merc_wild_10;Полуночники;x
duchy_giant;Вождество;x
duchy_of_giant;Вождество;x
duke_giant;Великий Вождь;x
duke_female_giant;Великая Предводительница;x
duke_foa_giant;Вождь;x
county_giant;Вождество;x
county_of_giant;Вождество;x
count_giant;Вождь;x
count_female_giant;Предводительница;x
count_foa_giant;Вождь;x
d_milkwater;Молочная;x
c_first_forest;Первейший лес;x
b_firsthill;Первейшая гора;x
b_firsthome;Первый дом;x
c_the_giants_stairs;Лестница Великанов;x
b_gianthold;Земли Великанов;x
d_ice_rivers;Ледяная река;x
c_great_ice_river;Великая ледяная река;x
b_ice_camp;Ледовый лагерь;x
b_icecross;Ледовый перекрёсток;x
c_the_west_shelf;Западный уступ;x
b_west_camp;Западный лагерь;x
c_free_vale;Вольная Долина;x
b_free_grove;Вольная Роща;x
b_borderhold;Пограничье;x
c_night_valleys;Ночные Долины;x
b_nighthold;Ночные Земли;x
b_nightwatch;Ночной Дозор;x
d_hardhome;Суровый дом;x
b_wightgrove;Белая Роща;x
